region_set,model,pr_auc,precision,recall,f1,brier_score,best_threshold,n_samples,positive_rate,confusion_matrix
seen,seen_regions,0.8833,0.7399,0.9626,0.8367,0.1728,0.3,37032,0.7101,"[[1837, 8898], [984, 25313]]"
unseen,unseen_regions,0.8137,0.6906,0.964,0.8047,0.2073,0.3,7289,0.6591,"[[410, 2075], [173, 4631]]"
