method,brier_score,brier_improvement_pct,ece,pr_auc,pr_auc_delta_pct
baseline,0.17664438396198337,0.0,0.032106969380993354,0.8732249113736417,0.0
platt,0.17547351172807993,0.6628414714590822,0.025581833186521942,0.8732249113736417,0.0
isotonic,0.17466242015732275,1.1220078217075775,0.008332868970824065,0.8691509504649952,-0.46654199342959746
